FARIDABAD	PER_Others
many	O
earlier	O
blasts	O
including	O
the	O
serial	O
train	O
blasts	O
in	O
Mumbai	LOC_Event
,	O
Malegaon	LOC_Event
and	O
Mecca	LOC_Event
Masjid	LOC_Event
blasts	O
.	O
Security	O
agencies	O
have	O
long	O
been	O
pressing	O
for	O
bringing	O
a	O
strong	O
controlling	O
regime	O
to	O
check	O
misuse	O
of	O
the	O
chemical	O
especially	O
in	O
Naxal-affected	O
states	O
.	O
The	O
bomb	O
was	O
planted	O
by	O
two	O
motorcycle-borne	O
youth	O
in	O
their	O
early	O
30	O
's	O
,	O
Joint	O
Commissioner	O
of	O
Delhi	ORG_Others
Police	ORG_Others
-LRB-	O
Southern	O
Range	O
-RRB-	O
Ajay	PER_Others
Kashyap	PER_Others
said	O
.	O
`	O
The	O
two	O
youth	O
were	O
in	O
black	O
dress	O
,	O
were	O
wearing	O
black	O
helmets	O
and	O
riding	O
a	O
black	O
Bajaj	O
Pulsar	O
.	O
So	O
it	O
has	O
not	O
been	O
possible	O
for	O
the	O
eye	O
witnesses	O
to	O
identify	O
them	O
,	O
'	O
he	O
told	O
reporters	O
hours	O
after	O
the	O
blast	O
.	O
Kashyap	PER_Others
said	O
the	O
Delhi	ORG_Others
Police	ORG_Others
was	O
in	O
touch	O
with	O
the	O
Gurgaon	ORG_Others
Police	ORG_Others
as	O
the	O
blast	O
site	O
was	O
located	O
near	O
the	O
city	O
.	O
`	O
We	O
have	O
also	O
issued	O
a	O
look	O
out	O
notice	O
,	O
'	O
he	O
said	O
.	O
