MUMBAI	LOC_Event
may	O
be	O
ready	O
by	O
tonight	O
and	O
circulated	O
among	O
the	O
investigators	O
,	O
Maria	PER_Others
said	O
.	O
`	O
Experts	O
have	O
retrieved	O
certain	O
portions	O
of	O
metallic	O
container	O
which	O
was	O
used	O
to	O
store	O
and	O
carry	O
the	O
explosives	O
,	O
'	O
he	O
added	O
.	O
Forensic	O
experts	O
had	O
opined	O
that	O
ammonium	O
nitrate	O
mixed	O
with	O
fuel	O
oil	O
was	O
used	O
in	O
the	O
explosives	O
while	O
digital	O
timers	O
were	O
used	O
to	O
carry	O
out	O
the	O
blasts	O
.	O
He	O
also	O
said	O
ammonium	O
nitrate	O
,	O
crude	O
oil	O
and	O
digital	O
timers	O
were	O
used	O
to	O
trigger	O
the	O
explosions	O
at	O
the	O
sites	O
of	O
three	O
serial	O
blasts	O
.	O
The	O
death	O
toll	O
in	O
the	O
Wednesday	O
attack	O
rose	O
to	O
19	O
after	O
one	O
of	O
the	O
victims	O
of	O
the	O
blasts	O
succumbed	O
to	O
his	O
injuries	O
in	O
a	O
city	O
hospital	O
.	O
Teams	O
of	O
Maharashtra	ORG_Others
ATS	ORG_Others
and	O
crime	ORG_Others
branch	ORG_Others
had	O
gone	O
to	O
various	O
places	O
in	O
Uttar	LOC_Others
Pradesh	LOC_Others
,	O
Gujarat	LOC_Others
,	O
Delhi	LOC_Others
,	O
West	LOC_Others
Bengal	LOC_Others
,	O
Andhra	LOC_Others
Pradesh	LOC_Others
,	O
Karnataka	LOC_Others
and	O
Rajasthan	LOC_Others
Maria	PER_Others
said	O
,	O
adding	O
they	O
were	O
also	O
taking	O
the	O
help	O
of	O
police	O
of	O
respective	O
states	O
and	O
the	O
central	O
agencies	O
.	O
The	O
ATS	ORG_Others
has	O
questioned	O
the	O
owner	O
of	O
a	O
scooter	O
,	O
which	O
was	O
found	O
very	O
close	O
to	O
the	O
blast	O
site	O
in	O
Zaveri	LOC_Others
Bazar	LOC_Others
here	O
,	O
to	O
put	O
together	O
the	O
sequence	O
of	O
events	O
on	O
July	O
13	O
.	O
The	O
maroon	O
colour	O
Honda	O
Activa	O
bearing	O
number	O
MH-01-AS	O
718	O
was	O
one	O
of	O
the	O
scooters	O
which	O
was	O
very	O
close	O
to	O
the	O
blast	O
site	O
and	O
was	O
partially	O
destroyed	O
.	O
The	O
vehicle	O
belongs	O
to	O
one	O
Ashok	PER_Accused
Jain	PER_Accused
who	O
lives	O
in	O
Nagpada	LOC_Accused
area	O
.	O
`	O
Through	O
the	O
CCTV	O
footage	O
,	O
we	O
do	O
have	O
a	O
photograph	O
at	O
one	O
of	O
the	O
locations	O
that	O
needs	O
more	O
verification	O
and	O
investigations	O
.	O
Our	O
teams	O
are	O
on	O
the	O
job	O
to	O
identify	O
who	O
that	O
individual	O
is	O
,	O
'	O
Maria	PER_Others
said	O
.	O
The	O
additional	O
DG	O
said	O
Maharashtra	ORG_Others
ATS	ORG_Others
and	O
the	O
Crime	O
branch	O
teams	O
questioned	O
some	O
previously	O
arrested	O
accused	O
in	O
MP	O
in	O
connection	O
with	O
the	O
blasts	O
.	O
`	O
Our	O
teams	O
are	O
fanned	O
out	O
at	O
various	O
places	O
and	O
-LRB-	O
have	O
-RRB-	O
questioned	O
a	O
number	O
of	O
people	O
having	O
links	O
with	O
various	O
modules	O
arrested	O
in	O
the	O
past	O
in	O
a	O
bid	O
to	O
get	O
leads	O
in	O
the	O
case	O
,	O
'	O
Maria	PER_Others
said	O
while	O
responding	O
to	O
another	O
question	O
.	O
Nobody	O
had	O
been	O
detained	O
so	O
far	O
,	O
he	O
said	O
.	O
Asserting	O
that	O
the	O
underworld	O
angle	O
,	O
if	O
any	O
,	O
will	O
be	O
examined	O
,	O
Maria	PER_Others
said	O
,	O
'Till	O
the	O
time	O
we	O
arrest	O
the	O
accused	O
,	O
it	O
is	O
inappropriate	O
to	O
say	O
which	O
group	O
or	O
outfit	O
was	O
involved	O
in	O
the	O
blasts	O
.	O
'	O
When	O
asked	O
if	O
any	O
phone	O
calls	O
were	O
received	O
before	O
the	O
blasts	O
and	O
whether	O
IB	O
intercepted	O
any	O
calls	O
after	O
or	O
before	O
the	O
explosions	O
,	O
the	O
IPS	O
officer	O
said	O
,	O
`	O
There	O
are	O
calls	O
received	O
post	O
blasts	O
at	O
various	O
control	O
rooms	O
in	O
the	O
city	O
and	O
other	O
controls	O
rooms	O
in	O
and	O
outside	O
the	O
state	O
that	O
had	O
been	O
verified	O
except	O
one	O
call	O
which	O
needs	O
to	O
be	O
verified	O
.	O
'	O
Elaborating	O
on	O
phone	O
calls	O
received	O
in	O
Buldana	LOC_Victim
and	O
Aurangabad	LOC_Victim
,	O
Maria	PER_Others
said	O
,	O
`	O
There	O
were	O
calls	O
after	O
two	O
blasts	O
-LRB-	O
informing	O
-RRB-	O
that	O
third	O
blast	O
would	O
take	O
place	O
veracity	O
of	O
which	O
is	O
being	O
ascertained	O
.	O
'	O
The	O
ATS	ORG_Others
has	O
also	O
sought	O
assistance	O
from	O
Kolkata	ORG_Others
Police	ORG_Others
asking	O
them	O
to	O
verify	O
if	O
any	O
suspects	O
had	O
travelled	O
to	O
Mumbai	LOC_Others
from	O
that	O
city	O
after	O
the	O
blasts	O
.	O
He	O
said	O
some	O
of	O
the	O
CCTV	O
footages	O
were	O
`	O
grainy	O
'	O
and	O
in	O
a	O
day	O
or	O
two	O
,	O
investigators	O
will	O
be	O
able	O
to	O
get	O
better	O
images	O
from	O
the	O
CCTV	O
cameras	O
recovered	O
from	O
the	O
blast	O
sites	O
,	O
he	O
said	O
.	O
'	O
A	O
police	O
team	O
from	O
Karnataka	LOC_Others
has	O
come	O
to	O
Mumbai	LOC_Others
to	O
help	O
us	O
.	O
An	O
ATS	ORG_Others
team	O
from	O
Maharashtra	LOC_Others
will	O
also	O
go	O
to	O
Karnataka	LOC_Others
and	O
Ahmedabad	LOC_Others
to	O
question	O
the	O
IM	ORG_Others
members	O
lodged	O
in	O
the	O
jails	O
there	O
,	O
'	O
said	O
a	O
police	O
official	O
.	O
