SRINAGAR	LOC_Event
at	O
12.30	O
p.m.	O
Mr	O
Sharma	PER_Others
and	O
Mr	O
Bhatia	PER_Others
were	O
injured	O
and	O
died	O
in	O
the	O
hospital	O
later	O
.	O
.	O
.	O
Two	O
police	O
officers	O
,	O
including	O
a	O
Superintendent	O
of	O
Police	O
Pankaj	PER_Others
Saxena	PER_Others
,	O
an	O
Army	ORG_Others
Major	O
and	O
six	O
photo-journalists	O
and	O
TV	O
cameramen	O
were	O
among	O
the	O
injured	O
when	O
an	O
explosive-laden	O
white	O
Ambassador	O
car	O
,	O
believed	O
to	O
be	O
a	O
stolen	O
one	O
,	O
blew	O
up	O
.	O
.	O
.	O
An	O
official	O
spokesman	O
said	O
the	O
car	O
bomb	O
went	O
off	O
15	O
minutes	O
after	O
a	O
grenade	O
was	O
exploded	O
by	O
militants	O
near	O
Kothibagh	LOC_Accused
police	LOC_Accused
station	LOC_Accused
after	O
which	O
senior	O
police	O
officials	O
and	O
mediapersons	O
rushed	O
to	O
the	O
spot	O
.	O
.	O
.	O
As	O
the	O
officers	O
inspected	O
the	O
grenade	O
attack	O
site	O
,	O
the	O
car	O
parked	O
in	O
a	O
lane	O
blew	O
up	O
,	O
killing	O
nine	O
policemen	O
on	O
the	O
spot	O
,	O
the	O
spokesman	O
said	O
.	O
.	O
.	O
The	O
police	O
said	O
a	O
shopkeeper	O
,	O
Bashir	PER_Victim
Ahmad	PER_Victim
Gandroo	PER_Victim
,	O
died	O
of	O
cardiac	O
arrest	O
following	O
the	O
deafening	O
sound	O
of	O
the	O
blast	O
.	O
.	O
.	O
The	O
injured	O
included	O
mostly	O
police	O
personnel	O
,	O
securitymen	O
and	O
press	O
photographers	O
who	O
had	O
gone	O
to	O
the	O
spot	O
after	O
the	O
grenade	O
explosion	O
.	O
Among	O
the	O
photojournalists	O
injured	O
were	O
Amin	PER_Victim
War	PER_Victim
,	O
I	PER_Victim
Tariq	PER_Victim
,	O
H.U.	PER_Victim
Naqash	PER_Victim
,	O
(	O
Asian	O
Age	O
)	O
,	O
Rafiq	PER_Victim
Manzoor	PER_Victim
,	O
Fayaz	PER_Victim
Kabli	PER_Victim
and	O
Bilal	PER_Victim
Bhat	PER_Victim
.	O
Bilal	PER_Victim
Bhat	PER_Victim
(	O
ANI	ORG_Others
)	O
and	O
Fayaz	PER_Victim
Kabli	PER_Victim
of	O
Reuters	ORG_Others
were	O
later	O
discharged	O
from	O
SMHS	ORG_Others
Hospital	ORG_Others
and	O
Soura	ORG_Others
Medical	ORG_Others
Institute	ORG_Others
,	O
respectively	O
.	O
.	O
.	O
Others	O
are	O
undergoing	O
treatment	O
at	O
Soura	ORG_Others
Medical	ORG_Others
Institute	ORG_Others
.	O
.	O
.	O
Eyewitnesses	O
said	O
the	O
explosion	O
took	O
place	O
in	O
a	O
white	O
Ambassador	O
car	O
parked	O
near	O
the	O
SBI	ORG_Others
gate	O
that	O
was	O
being	O
searched	O
by	O
the	O
police	O
and	O
Army	ORG_Others
personnel	O
after	O
the	O
grenade	O
explosion	O
.	O
.	O
.	O
The	O
bodies	O
of	O
those	O
killed	O
are	O
kept	O
at	O
the	O
police	O
control	O
room	O
.	O
The	O
body	O
of	O
Pradeep	PER_Others
Bhatia	PER_Others
,	O
photo-journalist	O
of	O
the	O
Hindustan	ORG_Others
Times	ORG_Others
will	O
be	O
sent	O
to	O
Delhi	LOC_Others
tomorrow	O
.	O
.	O
.	O
Journalists	O
have	O
expressed	O
shock	O
.	O
.	O
PTI	ORG_Others
adds	O
:	O
Two	O
top	O
militants	O
were	O
killed	O
in	O
an	O
exchange	O
of	O
fire	O
with	O
the	O
security	O
forces	O
in	O
Ramkote	LOC_Others
area	O
of	O
Kathua	LOC_Others
district	O
on	O
Wednesday	O
night	O
,	O
official	O
sources	O
said	O
.	O
.	O
.	O
An	O
infiltration	O
bid	O
was	O
foiled	O
in	O
Noushera	LOC_Others
when	O
the	O
security	O
forces	O
gunned	O
down	O
a	O
top	O
ultra	O
.	O
.	O
.	O
Militants	O
threw	O
grenades	O
at	O
the	O
house	O
of	O
counter	O
insurgent	O
Abdul	PER_Others
Rehman	PER_Others
Padroo	PER_Others
at	O
Tangaloo-Duroo	LOC_Event
in	O
Anantnag	LOC_Event
district	O
killing	O
his	O
mother	O
on	O
the	O
spot	O
and	O
injuring	O
five	O
other	O
family	O
members	O
.	O
.	O
.	O
BARAMULA	PER_Others
(	O
UNI	ORG_Others
)	O
:	O
At	O
least	O
seven	O
houses	O
were	O
reduced	O
to	O
a	O
rubble	O
and	O
five	O
partially	O
damaged	O
in	O
artillery	O
and	O
mortar	O
shelling	O
by	O
Pakistani	O
troops	O
in	O
Karnah	LOC_Others
sector	O
early	O
this	O
morning	O
.	O
.	O
.	O
Official	O
sources	O
said	O
Pakistani	O
troops	O
resorted	O
to	O
unprovoked	O
shelling	O
from	O
across	O
the	O
border	O
,	O
targeting	O
civilian	O
areas	O
and	O
security	O
installations	O
.	O
.	O
.	O
A	O
dozen	O
houses	O
were	O
hit	O
by	O
shells	O
in	O
Umar	LOC_Others
Rahi	LOC_Others
village	O
near	O
the	O
Line	O
of	O
Control	O
.	O
